Date,Time,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2
2023-12-31,01:00:00,59.0,6.0,34.0,0.0,191.0,211.0,3.0
2023-12-31,02:00:00,62.0,6.0,33.0,1.0,185.0,225.0,4.0
2023-12-31,03:00:00,50.0,6.0,30.0,0.0,182.0,240.0,3.0
2023-12-31,04:00:00,52.0,5.0,27.0,0.0,176.0,247.0,3.0
2023-12-31,05:00:00,46.0,4.0,23.0,,176.0,249.0,2.0
2023-12-31,06:00:00,42.0,4.0,22.0,,172.0,232.0,2.0
2023-12-31,07:00:00,51.0,4.0,22.0,0.0,170.0,213.0,3.0
2023-12-31,08:00:00,56.0,4.0,20.0,,175.0,243.0,3.0
2023-12-31,09:00:00,42.0,5.0,25.0,2.0,180.0,263.0,2.0
2023-12-31,10:00:00,29.0,5.0,26.0,34.0,171.0,275.0,3.0
2023-12-31,11:00:00,23.0,4.0,18.0,95.0,149.0,286.0,5.0
2023-12-31,12:00:00,20.0,3.0,17.0,138.0,136.0,263.0,4.0
2023-12-31,13:00:00,16.0,3.0,16.0,146.0,124.0,218.0,4.0
2023-12-31,14:00:00,14.0,3.0,14.0,149.0,109.0,143.0,3.0
2023-12-31,15:00:00,13.0,3.0,13.0,162.0,85.0,92.0,3.0
2023-12-31,16:00:00,12.0,2.0,12.0,164.0,66.0,84.0,4.0
2023-12-31,17:00:00,12.0,2.0,10.0,159.0,57.0,56.0,3.0
2023-12-31,18:00:00,12.0,2.0,11.0,126.0,55.0,53.0,3.0
2023-12-31,19:00:00,16.0,3.0,15.0,84.0,66.0,55.0,3.0
2023-12-31,20:00:00,40.0,5.0,28.0,26.0,84.0,55.0,2.0
2023-12-31,21:00:00,76.0,7.0,40.0,1.0,104.0,70.0,3.0
2023-12-31,22:00:00,72.0,7.0,37.0,1.0,126.0,96.0,3.0
2023-12-31,23:00:00,76.0,7.0,36.0,1.0,143.0,129.0,4.0
2024-01-01,00:00:00,72.0,6.0,32.0,1.0,156.0,178.0,3.0
2024-01-01,01:00:00,72.0,6.0,30.0,0.0,164.0,206.0,4.0
2024-01-01,02:00:00,70.0,5.0,29.0,0.0,168.0,218.0,4.0
2024-01-01,03:00:00,62.0,5.0,27.0,0.0,168.0,245.0,3.0
2024-01-01,04:00:00,55.0,5.0,26.0,,171.0,263.0,3.0
2024-01-01,05:00:00,48.0,4.0,23.0,,173.0,290.0,3.0
2024-01-01,06:00:00,44.0,4.0,22.0,0.0,168.0,290.0,1.0
2024-01-01,07:00:00,50.0,4.0,22.0,,165.0,285.0,3.0
2024-01-01,08:00:00,50.0,4.0,20.0,0.0,166.0,293.0,2.0
2024-01-01,09:00:00,46.0,4.0,20.0,4.0,171.0,302.0,2.0
2024-01-01,10:00:00,30.0,4.0,23.0,36.0,172.0,301.0,3.0
