date,CO,NH3,NO2,O3,PM10,PM2_5,SO2,AQI
2023-12-31,38.739,4.348,23.0,64.45,134.0,173.826,3.13,241.4
2024-01-01,43.208,4.583,24.292,72.476,137.083,198.5,3.208,260.4
2024-01-02,35.043,3.792,19.625,45.714,126.864,129.545,3.0,207.3
2024-01-03,38.75,3.292,17.292,60.444,149.833,221.958,10.0,278.4
2024-01-04,38.25,4.792,25.292,54.938,147.708,209.042,10.125,268.5
2024-01-05,34.292,5.167,26.958,70.875,125.583,142.042,8.583,217.0
2024-01-06,33.714,5.286,27.857,30.263,133.762,140.286,6.81,215.6
2024-01-07,34.9,4.7,24.8,3.5,138.1,163.0,7.9,233.1
2024-01-08,39.286,4.857,24.429,42.0,93.0,66.286,8.143,110.5
2024-01-09,25.833,3.208,16.292,18.857,113.5,104.417,10.458,174.0
2024-01-10,23.0,2.667,13.5,32.95,88.875,89.208,6.208,148.7
2024-01-11,30.792,2.833,14.75,54.056,117.0,125.5,11.75,204.2
2024-01-12,41.167,4.333,22.333,56.667,131.875,160.667,16.833,231.3
2024-01-13,43.8,5.133,26.133,72.111,158.0,186.933,16.4,251.5
2024-01-16,20.667,4.667,25.333,95.917,75.0,84.636,11.182,141.1
2024-01-17,21.125,4.333,24.864,52.143,91.417,83.292,3.75,138.8
2024-01-18,18.417,3.833,19.833,50.947,81.833,80.667,3.583,134.4
2024-01-19,24.042,4.625,24.333,39.647,89.292,85.958,3.5,143.3
2024-01-20,27.0,4.857,26.19,41.571,95.905,89.619,3.524,149.4
2024-01-21,38.714,5.714,30.071,35.0,136.667,109.083,4.0,181.8
2024-01-22,27.292,4.75,25.208,50.458,101.87,100.826,4.25,168.0
2024-01-23,28.708,5.208,27.5,75.65,93.417,74.667,4.417,124.4
2024-01-24,31.292,6.333,34.042,68.238,117.542,93.25,4.25,155.4
2024-01-25,37.042,7.0,37.208,56.565,111.708,99.417,4.375,165.7
2024-01-26,42.333,6.917,37.542,66.174,148.833,159.0,5.333,230.0
2024-01-27,36.667,6.667,35.167,66.524,128.5,133.917,5.083,210.7
2024-01-28,35.0,6.375,33.833,100.947,129.458,158.792,4.417,229.8
2024-01-29,32.625,6.875,36.417,89.143,118.958,109.167,4.333,181.9
2024-01-30,27.875,6.458,34.208,97.263,121.958,105.333,4.583,175.6
2024-01-31,25.083,5.833,30.833,81.619,117.708,114.375,4.625,190.6
2024-02-01,30.9,7.0,37.5,18.778,97.2,67.7,2.7,112.8
2024-02-02,21.0,5.083,26.417,75.056,98.0,68.833,4.542,114.7
2024-02-03,46.5,7.375,38.958,49.333,149.75,137.833,5.292,213.7
2024-02-04,39.25,6.458,34.625,73.45,145.417,153.917,4.917,226.1
2024-02-05,31.333,6.583,34.542,101.533,114.833,120.0,5.125,200.0
2024-02-06,30.5,7.25,38.583,89.105,132.583,133.208,5.042,210.2
2024-02-07,30.375,3.208,26.5,64.053,118.792,92.0,4.5,153.3
2024-02-08,35.833,7.042,37.5,83.333,142.667,101.833,5.542,169.7
2024-02-09,35.333,7.25,38.917,86.2,145.875,102.792,5.083,171.3
2024-02-10,26.333,5.875,37.15,114.421,128.042,94.708,5.333,157.8
2024-02-11,26.5,1.533,22.8,58.091,129.929,94.643,4.0,157.7
2024-02-12,26.071,6.5,34.143,89.786,94.667,80.267,5.214,133.8
2024-02-13,34.783,6.783,50.826,63.565,102.81,61.762,8.773,102.9
2024-02-14,69.167,10.958,123.208,68.174,143.792,117.875,15.083,196.5
2024-02-15,64.792,9.538,95.308,85.667,140.375,113.75,21.875,189.6
2024-02-16,55.583,4.286,26.143,82.95,128.833,125.333,17.583,204.1
2024-02-17,66.083,5.375,33.167,76.842,127.958,104.958,19.708,174.9
2024-02-18,46.583,3.75,23.875,177.6,106.667,85.375,16.458,142.3
2024-02-19,44.958,3.583,23.125,78.857,95.25,115.542,15.0,192.6
2024-02-20,40.375,3.208,21.25,53.25,83.958,63.458,10.625,105.8
2024-02-21,31.167,2.583,17.292,67.353,76.708,56.167,9.042,93.6
2024-02-22,25.917,2.125,15.0,65.333,86.042,51.5,9.625,85.8
2024-02-23,28.167,2.292,16.083,85.316,95.25,50.667,8.542,84.4
2024-02-24,42.458,3.417,22.042,94.667,114.042,82.5,8.333,137.5
2024-02-25,53.292,4.458,27.292,69.792,114.417,87.333,6.458,145.6
2024-02-26,61.167,4.917,31.042,85.333,137.125,144.167,12.375,218.6
2024-02-27,45.708,3.583,23.458,132.667,117.458,104.292,12.917,173.8
2024-02-28,43.167,3.0,18.667,80.118,104.333,81.0,13.0,135.0
2024-02-29,52.0,4.5,24.958,50.474,105.875,101.833,15.625,169.7
2024-03-01,55.542,4.708,25.375,65.6,124.667,94.5,16.292,157.5
2024-03-02,26.5,3.083,16.458,52.318,75.875,66.833,10.292,111.4
2024-03-03,17.542,2.0,10.0,43.458,50.458,37.667,9.125,62.8
2024-03-04,32.125,3.333,17.958,50.286,68.75,37.708,7.333,62.8
2024-03-05,41.833,3.875,21.083,84.333,104.792,81.958,8.208,136.6
2024-03-06,39.542,3.333,18.125,69.875,102.708,85.917,7.708,143.2
2024-03-07,44.045,3.304,17.652,60.727,106.263,79.316,6.0,132.2
2024-03-08,43.273,5.818,32.409,118.647,122.217,92.217,10.435,153.7
2024-03-09,41.625,5.833,32.125,102.474,113.0,93.125,12.0,155.2
2024-03-10,40.458,15.958,85.75,96.476,102.708,79.167,11.625,131.9
2024-03-11,44.167,15.864,85.364,87.5,117.042,110.958,13.375,184.9
2024-03-12,41.565,9.6,52.467,119.3,130.696,112.696,17.435,187.8
2024-03-13,28.625,11.5,62.958,87.143,103.292,74.417,14.625,124.0
2024-03-14,31.75,11.75,65.083,97.545,109.167,76.583,15.25,127.6
2024-03-15,29.917,8.792,48.167,82.5,106.167,72.542,11.75,120.9
2024-03-16,41.292,0.0,1.0,103.625,113.792,80.458,11.458,134.1
2024-03-17,39.25,0.0,1.0,119.471,114.583,81.125,12.75,135.2
2024-03-18,34.083,0.739,1.0,89.85,83.958,56.708,8.25,94.5
2024-03-19,30.333,1.5,10.875,86.042,94.5,66.125,11.167,110.2
2024-03-20,43.042,1.739,22.458,74.042,105.0,83.522,10.13,139.2
2024-03-21,53.5,1.318,23.278,96.818,131.455,121.727,18.227,201.3
2024-03-22,37.583,1.75,21.167,139.826,113.5,133.458,18.375,210.4
2024-03-23,33.958,1.708,22.375,139.391,104.833,85.5,18.833,142.5
2024-03-24,29.458,1.667,20.542,124.095,96.458,75.958,16.917,126.6
2024-03-25,36.273,1.667,21.542,97.75,91.25,81.292,20.792,135.5
2024-03-26,32.875,1.75,21.708,118.625,88.125,76.375,17.542,127.3
2024-03-27,27.917,1.833,6.333,122.652,94.292,73.75,11.042,122.9
2024-03-28,31.083,2.0,11.182,118.75,94.833,74.125,10.958,123.5
2024-03-29,27.913,1.913,10.783,123.0,92.13,75.957,14.609,126.6
2024-03-30,24.75,1.333,7.292,120.75,109.375,82.375,18.875,137.3
2024-03-31,25.833,1.125,11.409,108.182,98.375,71.875,14.375,119.8
2024-04-01,32.125,1.542,38.579,108.87,93.167,74.417,9.5,124.0
2024-04-02,27.167,1.458,19.167,125.826,106.25,75.25,9.292,125.4
2024-04-03,26.625,1.458,16.958,122.25,110.083,76.333,11.542,127.2
2024-04-04,29.542,1.5,19.792,94.375,98.875,69.292,12.083,115.5
2024-04-05,29.25,1.333,18.083,110.667,111.333,79.917,15.417,133.2
2024-04-06,27.875,1.292,18.455,83.167,98.167,69.25,14.667,115.4
2024-04-07,27.0,1.417,17.0,96.792,95.333,70.708,13.542,117.8
2024-04-08,23.292,1.375,16.826,86.826,59.625,46.0,5.708,76.7
2024-04-09,27.792,1.375,15.0,116.5,83.458,69.458,10.292,115.8
2024-04-10,31.471,1.737,17.056,81.684,101.133,86.2,12.3,143.7
2024-04-11,25.87,4.13,23.348,100.826,88.087,74.652,3.889,124.4
2024-04-12,24.625,3.542,19.708,69.5,78.083,70.5,4.5,117.5
2024-04-13,23.583,3.5,19.583,89.095,71.792,60.167,4.455,100.3
2024-04-14,22.75,3.292,18.125,83.696,63.125,53.0,7.083,88.3
2024-04-15,31.667,3.833,21.5,75.5,95.5,83.917,7.25,139.9
2024-04-16,30.0,3.435,18.957,78.304,103.391,82.217,8.087,137.0
2024-04-17,38.562,3.083,16.875,49.714,112.739,96.304,6.708,160.5
2024-04-18,15.6,2.421,12.842,103.0,83.556,66.833,4.368,111.4
2024-04-19,19.636,2.0,11.2,106.1,76.818,64.909,8.545,108.2
2024-04-20,18.75,2.188,12.812,65.75,78.312,60.375,4.625,100.6
2024-04-27,26.625,1.75,13.0,135.875,83.125,72.0,9.5,120.0
2024-04-28,25.5,2.25,16.125,94.542,108.083,84.333,9.083,140.6
2024-04-29,28.167,2.625,19.292,103.739,106.167,93.5,9.667,155.8
2024-04-30,25.125,2.875,21.208,107.583,99.083,79.292,9.458,132.2
2024-05-01,15.75,2.125,14.792,79.708,83.875,54.417,7.375,90.7
2024-05-02,20.833,2.625,16.048,85.875,82.792,55.583,7.417,92.6
2024-05-03,19.208,2.667,15.583,100.667,100.75,60.958,6.542,101.6
2024-05-04,20.909,3.682,17.667,98.609,108.696,73.217,7.208,122.0
2024-05-05,18.458,6.75,27.043,80.708,85.958,63.417,9.0,105.7
2024-05-06,14.958,4.167,17.042,59.625,53.917,40.542,6.762,67.6
2024-05-07,13.174,2.478,7.125,65.13,69.217,37.261,5.217,62.1
2024-05-08,15.5,2.167,7.208,90.292,80.625,47.583,5.875,79.3
2024-05-09,16.083,2.208,6.792,82.042,85.083,48.583,4.917,81.0
2024-05-10,16.643,2.786,8.357,49.5,68.857,43.786,3.571,73.0
2024-05-16,27.429,3.286,9.714,104.857,54.286,49.214,4.429,82.0
2024-05-17,28.167,3.0,8.833,93.083,73.609,68.913,4.167,114.9
2024-05-18,26.0,2.833,8.25,97.875,82.864,78.045,4.167,130.1
2024-05-19,20.917,2.417,1.375,98.75,88.375,75.625,4.083,126.0
2024-05-20,28.462,2.917,4.154,82.385,105.273,64.769,11.846,107.9
2024-05-21,16.833,2.917,7.708,98.25,83.864,62.909,4.783,104.8
2024-05-22,17.19,2.952,13.571,107.476,95.417,56.167,6.9,93.6
2024-05-24,15.0,3.273,13.727,98.0,68.455,56.727,5.909,94.5
2024-05-25,13.792,3.958,21.958,52.25,74.167,52.125,3.583,86.9
